countryId,country,pais,nationality,nacionalidade
1,Argentina,Argentina,Argentine,Argentina
2,Australia,Australia,Australian,Australiana
3,Austria,Austria,Austrian,Austriaca
4,Azerbaijan,Azerbaijao,Azerbaijani,Azerbaidja
5,Bahrain,Bahrein,Bahraini,Barenita
6,Belgium,Belgica,Belgian,Belga
7,Brazil,Brazil,Brazilian,Brasileira
8,Canada,Canada,Canadian,Canadense
9,Chile,Chile,Chilean,Chilena
10,China,China,Chinese,Chinesa
11,Colombia,Colombia,Colombian,Colombiana
12,Czech Republic,Republica Tcheca,Czech,Tcheca
13,Denmark,Dinamarca,Danish,Dinamarquesa
14,Finland,Finlandia,Finnish,Finlandesa
15,France,França,French,Francesa
16,Germany,Alemanha,German,Alema
17,Hong Kong,Hong Kong,Hong Konger,Hongconguesa
18,Hungary,Hungria,Hungarian,Hungara
19,India,India,Indian,Indiana
20,Indonesia,Indonesia,Indonesian,Indonesia
21,Ireland,Irlanda,Irish,Irlandesa
22,Italy,Italia,Italian,Italiana
23,Japan,Japão,Japanese,Japonesa
24,Korea,Coreia,Korean,Coreana
25,Malaysia,Malasia,Malaysian,Malaia
26,Mexico,Mexico,Mexican,Mexicana
27,Monaco,Monaco,Monacan,Monegasca
28,Morocco,Marrocos,Moroccan,Marroquina
29,Netherlands,Holanda,Dutch,Holandesa
30,New Zealand,Nova Zelandia,New Zealander,Neozelandesa
31,Poland,Polonia,Polish,Polonesa
32,Portugal,Portugal,Portuguese,Portuguesa
33,Russia,Russia,Russian,Russa
34,Singapore,Singapura,Singaporean,Cingapuriana
35,South Africa,Africa do Sul,South African,Sul Africana
36,Spain,Espanha,Spanish,Espanhola
37,Sweden,Suecia,Swedish,Sueca
38,Switzerland,Suiça,Swiss,Suiça
39,Turkey,Turquia,Turkish,Turca
40,UAE,Emirados Arabes,Emirati,Arabe-emiradense
41,UK,Reino Unido,British,Britanica
42,USA,EUA,American,Americana